zipcode;sido;gugun;dong
703-713;대구;서구;중리동
703-838;대구;서구;평리1동
703-703;대구;서구;평리2동
703-709;대구;서구;평리3동
703-014;대구;서구;평리4동
703-721;대구;서구;평리5동
703-791;대구;서구;평리6동
703-010;대구;서구;평리동
706-796;대구;수성구;가천동
706-120;대구;수성구;고모동
706-751;대구;수성구;노변동
706-130;대구;수성구;대흥동
706-704;대구;수성구;두산동
706-707;대구;수성구;만촌1동
706-756;대구;수성구;만촌2동
706-708;대구;수성구;만촌3동
706-799;대구;수성구;만촌동
706-763;대구;수성구;매호동
706-723;대구;수성구;범물1동
706-914;대구;수성구;범물2동
706-100;대구;수성구;범물동
706-738;대구;수성구;범어1동
706-724;대구;수성구;범어2동
706-726;대구;수성구;범어3동
706-741;대구;수성구;범어4동
706-010;대구;수성구;범어동
706-774;대구;수성구;사월동
706-190;대구;수성구;삼덕동
706-775;대구;수성구;상동
706-150;대구;수성구;성동
706-907;대구;수성구;수성동1가
706-730;대구;수성구;수성동2가
706-948;대구;수성구;수성동3가
706-926;대구;수성구;수성동4가
706-778;대구;수성구;시지동
706-780;대구;수성구;신매동
706-784;대구;수성구;연호동
706-964;대구;수성구;욱수동
706-785;대구;수성구;이천동
706-716;대구;수성구;중동
706-786;대구;수성구;지산1동
706-912;대구;수성구;지산2동
706-090;대구;수성구;지산동
706-793;대구;수성구;파동
706-794;대구;수성구;황금1동
706-852;대구;수성구;황금2동
706-040;대구;수성구;황금동
700-081;대구;중구;계산동1가
700-715;대구;중구;계산동2가
700-150;대구;중구;공평동
700-800;대구;중구;교동
700-826;대구;중구;남산1동
700-724;대구;중구;남산2동
700-726;대구;중구;남산3동
700-753;대구;중구;남산4동
700-440;대구;중구;남산동
700-230;대구;중구;남성로
700-729;대구;중구;남일동
700-840;대구;중구;달성동
700-718;대구;중구;대봉1동
700-763;대구;중구;대봉2동
700-430;대구;중구;대봉동
700-720;대구;중구;대신동
700-280;대구;중구;대안동
700-717;대구;중구;덕산동
700-360;대구;중구;도원동
700-711;대구;중구;동문동
700-712;대구;중구;동산동
700-091;대구;중구;동성로1가
700-731;대구;중구;동성로2가
700-093;대구;중구;동성로3가
700-754;대구;중구;동인동1가
700-703;대구;중구;동인동2가
700-844;대구;중구;동인동3가
700-846;대구;중구;동인동4가
700-050;대구;중구;동일동
700-733;대구;중구;문화동
700-710;대구;중구;봉산동
700-340;대구;중구;북내동
700-745;대구;중구;북성로1가
700-352;대구;중구;북성로2가
700-040;대구;중구;사일동
700-739;대구;중구;삼덕동1가
700-741;대구;중구;삼덕동2가
700-413;대구;중구;삼덕동3가
700-130;대구;중구;상덕동
700-200;대구;중구;상서동
700-270;대구;중구;서내동
700-702;대구;중구;서문로1가
700-252;대구;중구;서문로2가
700-261;대구;중구;서성로1가
700-262;대구;중구;서성로2가
700-330;대구;중구;서야동
700-734;대구;중구;수동
700-850;대구;중구;수창동
700-290;대구;중구;시장북로
700-170;대구;중구;완전동
700-120;대구;중구;용덕동
700-300;대구;중구;인교동
700-240;대구;중구;장관동
700-030;대구;중구;전동
700-191;대구;중구;종로1가
700-192;대구;중구;종로2가
700-748;대구;중구;태평로1가
700-112;대구;중구;태평로2가
700-113;대구;중구;태평로3가
700-010;대구;중구;포정동
700-746;대구;중구;하서동
700-020;대구;중구;향촌동
700-100;대구;중구;화전동
711-711;대구;달성군;논공읍
711-753;대구;달성군;다사읍
711-777;대구;달성군;화원읍
711-702;대구;달성군;가창면
711-891;대구;달성군;구지면
711-841;대구;달성군;옥포면
711-881;대구;달성군;유가면
711-821;대구;달성군;하빈면
711-870;대구;달성군;현풍면
407-430;인천;계양구;갈현동
407-753;인천;계양구;계산1동
407-740;인천;계양구;계산2동
407-763;인천;계양구;계산3동
407-737;인천;계양구;계산4동
407-050;인천;계양구;계산동
407-722;인천;계양구;귤현동
407-370;인천;계양구;노오지동
407-460;인천;계양구;다남동
407-726;인천;계양구;동양동
407-440;인천;계양구;둑실동
407-450;인천;계양구;목상동
407-723;인천;계양구;박촌동
407-480;인천;계양구;방축동
407-768;인천;계양구;병방동
407-390;인천;계양구;상야동
407-070;인천;계양구;서운동
407-360;인천;계양구;선주지동
407-769;인천;계양구;오류동
407-709;인천;계양구;용종동
407-380;인천;계양구;이화동
407-814;인천;계양구;임학동
407-789;인천;계양구;작전1동
407-791;인천;계양구;작전2동
407-060;인천;계양구;작전동
407-711;인천;계양구;작전서운동
407-470;인천;계양구;장기동
407-400;인천;계양구;평동
407-410;인천;계양구;하야동
407-781;인천;계양구;효성1동
407-792;인천;계양구;효성2동
407-040;인천;계양구;효성동
402-702;인천;남구;관교동
402-718;인천;남구;도화1동
402-727;인천;남구;도화2.3동
402-060;인천;남구;도화동
402-799;인천;남구;문학동
402-729;인천;남구;숭의1.3동
402-701;인천;남구;숭의2동
402-731;인천;남구;숭의4동
402-010;인천;남구;숭의동
402-734;인천;남구;용현1.4동
402-793;인천;남구;용현2동
402-821;인천;남구;용현3동
402-791;인천;남구;용현5동
402-020;인천;남구;용현동
402-722;인천;남구;주안1동
402-844;인천;남구;주안2동
402-845;인천;남구;주안3동
402-838;인천;남구;주안4동
402-744;인천;남구;주안5동
402-765;인천;남구;주안6동
402-755;인천;남구;주안7동
402-758;인천;남구;주안8동
402-200;인천;남구;주안동
402-770;인천;남구;학익1동
402-778;인천;남구;학익2동
402-040;인천;남구;학익동
405-776;인천;남동구;간석1동
405-751;인천;남동구;간석2동
405-719;인천;남동구;간석3동
405-713;인천;남동구;간석4동
405-230;인천;남동구;간석동
405-727;인천;남동구;고잔동
405-760;인천;남동구;구월1동
405-761;인천;남동구;구월2동
405-721;인천;남동구;구월3동
405-700;인천;남동구;구월4동
405-220;인천;남동구;구월동
405-737;인천;남동구;남촌동
405-797;인천;남동구;논현동
405-785;인천;남동구;도림동
405-712;인천;남동구;만수1동
405-742;인천;남동구;만수2동
405-749;인천;남동구;만수3동
405-771;인천;남동구;만수4동
405-755;인천;남동구;만수5동
405-756;인천;남동구;만수6동
405-240;인천;남동구;만수동
405-701;인천;남동구;서창동
405-290;인천;남동구;수산동
405-270;인천;남동구;운연동
405-250;인천;남동구;장수동
401-060;인천;동구;금곡동
401-731;인천;동구;만석동
401-811;인천;동구;송림1동
401-701;인천;동구;송림2동
401-816;인천;동구;송림3.5동
401-722;인천;동구;송림4동
401-732;인천;동구;송림6동
401-711;인천;동구;송림동
401-761;인천;동구;송현1.2동
401-704;인천;동구;송현3동
401-040;인천;동구;송현동
401-707;인천;동구;창영동
401-702;인천;동구;화수동
401-030;인천;동구;화평동
403-703;인천;부평구;갈산1동
403-706;인천;부평구;갈산2동
403-080;인천;부평구;갈산동
403-799;인천;부평구;구산동
403-721;인천;부평구;부개1동
403-723;인천;부평구;부개2동
403-726;인천;부평구;부개3동
403-798;인천;부평구;부개동
403-733;인천;부평구;부평1동
403-829;인천;부평구;부평2동
403-822;인천;부평구;부평3동
403-701;인천;부평구;부평4동
403-792;인천;부평구;부평5동
403-720;인천;부평구;부평6동
403-010;인천;부평구;부평동
403-797;인천;부평구;산곡1동
403-771;인천;부평구;산곡2동
403-716;인천;부평구;산곡3동
403-750;인천;부평구;산곡4동
403-020;인천;부평구;산곡동
403-737;인천;부평구;삼산1동
403-909;인천;부평구;삼산2동
403-090;인천;부평구;삼산동
403-907;인천;부평구;십정1동
403-759;인천;부평구;십정2동
403-130;인천;부평구;십정동
403-764;인천;부평구;일신동
403-854;인천;부평구;청천1동
403-765;인천;부평구;청천2동
403-601;인천;부평구;청천동
404-800;인천;서구;가정1동
404-712;인천;서구;가정2동
404-704;인천;서구;가정3동
404-230;인천;서구;가정동
404-711;인천;서구;가좌1동
404-761;인천;서구;가좌2동
404-705;인천;서구;가좌3동
404-763;인천;서구;가좌4동
404-250;인천;서구;가좌동
404-798;인천;서구;검암동
404-719;인천;서구;경서동
404-200;인천;서구;공촌동
404-339;인천;서구;금곡동
404-722;인천;서구;당하동
404-280;인천;서구;대곡동
404-748;인천;서구;마전동
404-706;인천;서구;백석동
404-775;인천;서구;불로동
404-782;인천;서구;석남1동
404-781;인천;서구;석남2동
404-823;인천;서구;석남3동
404-220;인천;서구;석남동
404-150;인천;서구;시천동
404-785;인천;서구;신현동
404-791;인천;서구;심곡동
404-703;인천;서구;연희동
404-300;인천;서구;오류동
404-736;인천;서구;왕길동
404-738;인천;서구;원당동
404-723;인천;서구;원창동
406-751;인천;연수구;동춘1동
406-756;인천;연수구;동춘2동
406-775;인천;연수구;동춘3동
406-130;인천;연수구;동춘동
406-704;인천;연수구;선학동
406-743;인천;연수구;송도1동
406-700;인천;연수구;송도2동
406-840;인천;연수구;송도동
406-707;인천;연수구;연수1동
406-762;인천;연수구;연수2동
406-799;인천;연수구;연수3동
406-110;인천;연수구;연수동
406-789;인천;연수구;옥련1동
406-771;인천;연수구;옥련2동
406-050;인천;연수구;옥련동
406-793;인천;연수구;청학동
400-160;인천;중구;경동
400-701;인천;중구;관동1가
400-042;인천;중구;관동2가
400-043;인천;중구;관동3가
400-440;인천;중구;남북동
400-150;인천;중구;내동
400-090;인천;중구;답동
400-410;인천;중구;덕교동
400-140;인천;중구;도원동
400-460;인천;중구;무의동
400-201;인천;중구;북성동1가
400-202;인천;중구;북성동2가
400-203;인천;중구;북성동3가
400-060;인천;중구;사동
400-210;인천;중구;선린동
400-110;인천;중구;선화동
400-221;인천;중구;송월동1가
400-222;인천;중구;송월동2가
400-223;인천;중구;송월동3가
400-051;인천;중구;송학동1가
400-052;인천;중구;송학동2가
400-053;인천;중구;송학동3가
400-070;인천;중구;신생동
400-080;인천;중구;신포동
400-101;인천;중구;신흥동1가
400-102;인천;중구;신흥동2가
400-711;인천;중구;신흥동3가
400-713;인천;중구;용동
400-811;인천;중구;운남동
400-821;인천;중구;운북동
400-720;인천;중구;운서동
400-120;인천;중구;유동
400-714;인천;중구;율목동
400-420;인천;중구;을왕동
400-706;인천;중구;인현동
400-190;인천;중구;전동
400-841;인천;중구;중산동
400-011;인천;중구;중앙동1가
400-012;인천;중구;중앙동2가
400-013;인천;중구;중앙동3가
400-014;인천;중구;중앙동4가
400-703;인천;중구;항동1가
400-032;인천;중구;항동2가
400-033;인천;중구;항동3가
400-034;인천;중구;항동4가
400-750;인천;중구;항동5가
400-036;인천;중구;항동6가
400-751;인천;중구;항동7가
400-021;인천;중구;해안동1가
400-022;인천;중구;해안동2가
400-023;인천;중구;해안동3가
400-024;인천;중구;해안동4가
417-941;인천;강화군;강화읍
417-921;인천;강화군;교동면
417-841;인천;강화군;길상면
417-891;인천;강화군;내가면
417-831;인천;강화군;불은면
417-911;인천;강화군;삼산면
417-931;인천;강화군;서도면
417-821;인천;강화군;선원면
417-815;인천;강화군;송해면
417-851;인천;강화군;양도면
417-881;인천;강화군;양사면
417-871;인천;강화군;하점면
417-861;인천;강화군;화도면
409-851;인천;옹진군;대청면
409-891;인천;옹진군;덕적면
409-910;인천;옹진군;백령면
409-831;인천;옹진군;북도면
409-841;인천;옹진군;연평면
409-871;인천;옹진군;영흥면
409-881;인천;옹진군;자월면
506-358;광주;광산구;고룡동
506-355;광주;광산구;광산동
506-400;광주;광산구;남산동
506-456;광주;광산구;내산동
506-457;광주;광산구;대산동
506-410;광주;광산구;덕림동
506-450;광주;광산구;도덕동
506-799;광주;광산구;도산동
506-864;광주;광산구;도천동
506-060;광주;광산구;도호동
506-407;광주;광산구;동림동
506-508;광주;광산구;동산동
506-409;광주;광산구;동호동
506-352;광주;광산구;두정동
506-357;광주;광산구;등임동
506-411;광주;광산구;명도동
506-509;광주;광산구;명화동
506-080;광주;광산구;박호동
506-555;광주;광산구;복룡동
506-552;광주;광산구;본덕동
506-401;광주;광산구;북산동
506-760;광주;광산구;비아동
506-351;광주;광산구;사호동
506-356;광주;광산구;산막동
506-403;광주;광산구;산수동
506-705;광주;광산구;산월동
506-713;광주;광산구;산정동
506-454;광주;광산구;삼거동
506-458;광주;광산구;삼도동
506-714;광주;광산구;서봉동
506-405;광주;광산구;선동
506-876;광주;광산구;선암동
506-717;광주;광산구;소촌동
506-556;광주;광산구;송대동
506-451;광주;광산구;송산동
506-722;광주;광산구;송정1동
506-702;광주;광산구;송정2동
506-010;광주;광산구;송정동
506-506;광주;광산구;송촌동
506-402;광주;광산구;송치동
506-460;광주;광산구;송학동
506-738;광주;광산구;수완동
506-459;광주;광산구;신동
506-748;광주;광산구;신가동
506-743;광주;광산구;신창동
506-354;광주;광산구;신룡동
506-793;광주;광산구;신촌동
506-750;광주;광산구;쌍암동
506-258;광주;광산구;안청동
506-455;광주;광산구;양동
506-408;광주;광산구;양산동
506-502;광주;광산구;연산동
506-353;광주;광산구;오산동
506-723;광주;광산구;오선동
506-453;광주;광산구;오운동
506-500;광주;광산구;옥동
506-406;광주;광산구;왕동
506-554;광주;광산구;요기동
506-504;광주;광산구;용곡동
506-503;광주;광산구;용동
506-553;광주;광산구;용봉동
506-709;광주;광산구;우산동
506-755;광주;광산구;운남동
506-703;광주;광산구;운수동
506-858;광주;광산구;월계동
506-758;광주;광산구;월곡1동
506-776;광주;광산구;월곡2동
506-054;광주;광산구;월곡동
506-501;광주;광산구;월전동
506-828;광주;광산구;유계동
506-350;광주;광산구;임곡동
506-731;광주;광산구;장덕동
506-507;광주;광산구;장록동
506-254;광주;광산구;장수동
506-404;광주;광산구;지산동
506-510;광주;광산구;지정동
506-505;광주;광산구;지죽동
506-452;광주;광산구;지평동
506-257;광주;광산구;진곡동
506-700;광주;광산구;하남동
506-550;광주;광산구;하산동
506-778;광주;광산구;황룡동
506-862;광주;광산구;흑석동
503-020;광주;남구;구동
503-212;광주;남구;구소동
503-871;광주;남구;노대동
503-204;광주;남구;대지동
503-340;광주;남구;덕남동
503-201;광주;남구;도금동
503-802;광주;남구;방림1동
503-774;광주;남구;방림2동
503-050;광주;남구;방림동
503-705;광주;남구;백운1동
503-808;광주;남구;백운2동
503-300;광주;남구;백운동
503-763;광주;남구;봉선1동
503-702;광주;남구;봉선2동
503-724;광주;남구;봉선동
503-030;광주;남구;사동
503-729;광주;남구;서1동
503-817;광주;남구;서2동
503-010;광주;남구;서동
503-207;광주;남구;석정동
503-772;광주;남구;송하동
503-213;광주;남구;승촌동
503-211;광주;남구;신장동
503-205;광주;남구;압촌동
503-214;광주;남구;양과동
503-715;광주;남구;양림동
503-210;광주;남구;양촌동
503-202;광주;남구;원산동
503-704;광주;남구;월산4동
503-828;광주;남구;월산5동
503-728;광주;남구;월산동
503-208;광주;남구;월성동
503-206;광주;남구;이장동
503-360;광주;남구;임암동
503-761;광주;남구;주월1동
503-833;광주;남구;주월2동
503-310;광주;남구;주월동
503-725;광주;남구;지석동
503-719;광주;남구;진월동
503-203;광주;남구;칠석동
503-855;광주;남구;행암동
503-209;광주;남구;화장동
501-803;광주;동구;계림1동
501-751;광주;동구;계림2동
501-080;광주;동구;계림동
501-180;광주;동구;광산동
501-040;광주;동구;궁동
501-742;광주;동구;금남로1가
501-710;광주;동구;금남로2가
501-700;광주;동구;금남로3가
501-721;광주;동구;금남로4가
501-713;광주;동구;금남로5가
501-722;광주;동구;금동
501-809;광주;동구;남동
501-260;광주;동구;내남동
501-709;광주;동구;대의동
501-730;광주;동구;대인동
501-813;광주;동구;동명동
501-130;광주;동구;불로동
501-819;광주;동구;산수1동
501-701;광주;동구;산수2동
501-090;광주;동구;산수동
501-720;광주;동구;서석동
501-250;광주;동구;선교동
501-724;광주;동구;소태동
501-723;광주;동구;수기동
501-830;광주;동구;용산동
501-230;광주;동구;용연동
501-833;광주;동구;운림동
501-240;광주;동구;월남동
501-060;광주;동구;장동
501-838;광주;동구;지산1동
501-707;광주;동구;지산2동
501-150;광주;동구;지산동
501-011;광주;동구;충장로1가
501-012;광주;동구;충장로2가
501-718;광주;동구;충장로3가
501-725;광주;동구;충장로4가
501-015;광주;동구;충장로5가
501-745;광주;동구;학동
501-728;광주;동구;호남동
501-110;광주;동구;황금동
500-762;광주;북구;각화동
500-400;광주;북구;금곡동
500-722;광주;북구;누문동
500-706;광주;북구;대촌동
500-420;광주;북구;덕의동
500-792;광주;북구;동림동
500-714;광주;북구;두암1동
500-707;광주;북구;두암2동
500-768;광주;북구;두암3동
500-100;광주;북구;두암동
500-500;광주;북구;망월동
500-891;광주;북구;매곡동
500-704;광주;북구;문흥1동
500-788;광주;북구;문흥2동
500-753;광주;북구;문흥동
500-710;광주;북구;본촌동
500-735;광주;북구;북동
500-790;광주;북구;삼각동
500-240;광주;북구;생용동
500-270;광주;북구;수곡동
500-717;광주;북구;신안동
500-791;광주;북구;신용동
500-902;광주;북구;양산동
500-780;광주;북구;연제동
500-712;광주;북구;오룡동
500-799;광주;북구;오치1동
500-720;광주;북구;오치2동
500-130;광주;북구;오치동
500-300;광주;북구;용강동
500-754;광주;북구;용두동
500-738;광주;북구;용봉동
500-230;광주;북구;용전동
500-737;광주;북구;우산동
500-922;광주;북구;운암1동
500-744;광주;북구;운암2동
500-745;광주;북구;운암3동
500-170;광주;북구;운암동
500-520;광주;북구;운정동
500-779;광주;북구;월출동
500-702;광주;북구;유동
500-749;광주;북구;일곡동
500-741;광주;북구;임동
500-510;광주;북구;장등동
500-758;광주;북구;중흥1동
500-777;광주;북구;중흥2동
500-871;광주;북구;중흥3동
500-040;광주;북구;중흥동
500-260;광주;북구;지야동
500-530;광주;북구;청풍동
500-410;광주;북구;충효동
500-290;광주;북구;태령동
500-703;광주;북구;풍향동
500-540;광주;북구;화암동
500-280;광주;북구;효령동
502-785;광주;서구;광천동
502-747;광주;서구;금호동
502-711;광주;서구;내방동
502-740;광주;서구;농성1동
502-726;광주;서구;농성2동
502-200;광주;서구;농성동
502-290;광주;서구;덕흥동
502-819;광주;서구;동천동
502-750;광주;서구;마륵동
502-795;광주;서구;매월동
502-152;광주;서구;벽진동
502-753;광주;서구;상무1동
502-752;광주;서구;상무2동
502-260;광주;서구;상무동
502-151;광주;서구;서창동
502-150;광주;서구;세하동
502-752;광주;서구;쌍촌동
502-826;광주;서구;양3동
502-730;광주;서구;양동
502-155;광주;서구;용두동
502-756;광주;서구;유촌동
502-790;광주;서구;치평동
502-776;광주;서구;풍암동
502-733;광주;서구;화정1동
502-704;광주;서구;화정2동
502-741;광주;서구;화정3동
502-710;광주;서구;화정4동
502-240;광주;서구;화정동
306-160;대전;대덕구;갈전동
306-755;대전;대덕구;대화동
306-803;대전;대덕구;덕암동
306-760;대전;대덕구;목상동
306-701;대전;대덕구;문평동
306-180;대전;대덕구;미호동
306-704;대전;대덕구;법1동
306-758;대전;대덕구;법2동
306-060;대전;대덕구;법동
306-240;대전;대덕구;부수동
306-769;대전;대덕구;비래동
306-150;대전;대덕구;삼정동
306-771;대전;대덕구;상서동
306-710;대전;대덕구;석봉동
306-767;대전;대덕구;송촌동
306-780;대전;대덕구;신대동
306-230;대전;대덕구;신일동
306-781;대전;대덕구;신탄진동
306-784;대전;대덕구;연축동
306-703;대전;대덕구;오정동
306-788;대전;대덕구;와동
306-140;대전;대덕구;용호동
306-790;대전;대덕구;읍내동
306-170;대전;대덕구;이현동
306-110;대전;대덕구;장동
306-792;대전;대덕구;중리동
306-712;대전;대덕구;평촌동
306-250;대전;대덕구;황호동
300-703;대전;동구;가양1동
300-711;대전;동구;가양2동
300-090;대전;동구;가양동
300-701;대전;동구;가오동
300-300;대전;동구;구도동
300-749;대전;동구;낭월동
300-440;대전;동구;내탑동
300-737;대전;동구;대동
300-260;대전;동구;대별동
300-761;대전;동구;대성동
300-340;대전;동구;마산동
300-310;대전;동구;비룡동
300-410;대전;동구;사성동
300-230;대전;동구;삼괴동
300-712;대전;동구;삼성동
300-738;대전;동구;삼정동
300-240;대전;동구;상소동
300-709;대전;동구;성남동
300-370;대전;동구;세천동
300-720;대전;동구;소제동
300-290;대전;동구;소호동
300-380;대전;동구;신상동
300-731;대전;동구;신안동
300-400;대전;동구;신촌동
300-390;대전;동구;신하동
300-700;대전;동구;신흥동
300-430;대전;동구;오동
300-450;대전;동구;용계동
300-752;대전;동구;용운동
300-727;대전;동구;용전동
300-010;대전;동구;원동
300-270;대전;동구;이사동
300-740;대전;동구;인동
300-770;대전;동구;자양동
300-280;대전;동구;장척동
300-732;대전;동구;정동
300-320;대전;동구;주산동
300-420;대전;동구;주촌동
300-733;대전;동구;중동
300-360;대전;동구;직동
300-777;대전;동구;천동
300-330;대전;동구;추동
300-771;대전;동구;판암1동
300-774;대전;동구;판암2동
300-130;대전;동구;판암동
300-250;대전;동구;하소동
300-778;대전;동구;홍도동
300-722;대전;동구;효동
300-350;대전;동구;효평동
302-832;대전;서구;가수원동
302-726;대전;서구;가장동
302-755;대전;서구;갈마1동
302-722;대전;서구;갈마2동
302-170;대전;서구;갈마동
302-724;대전;서구;관저1동
302-796;대전;서구;관저2동
302-243;대전;서구;관저동
302-110;대전;서구;괴곡동
302-716;대전;서구;괴정동
302-788;대전;서구;내동
302-730;대전;서구;도마1동
302-763;대전;서구;도마2동
302-160;대전;서구;도마동
302-881;대전;서구;도안동
302-876;대전;서구;둔산1동
302-707;대전;서구;둔산2동
302-744;대전;서구;둔산3동
302-120;대전;서구;둔산동
302-741;대전;서구;만년동
302-020;대전;서구;매노동
302-835;대전;서구;변동
302-867;대전;서구;복수동
302-060;대전;서구;봉곡동
302-050;대전;서구;산직동
302-080;대전;서구;오동
302-769;대전;서구;용문동
302-030;대전;서구;용촌동
302-100;대전;서구;우명동
302-090;대전;서구;원정동
302-717;대전;서구;월평1동
302-747;대전;서구;월평2동
302-791;대전;서구;월평3동
302-280;대전;서구;월평동
302-040;대전;서구;장안동
302-907;대전;서구;정림동
302-765;대전;서구;탄방동
302-070;대전;서구;평촌동
302-010;대전;서구;흑석동
305-703;대전;유성구;가정동
305-704;대전;유성구;갑동
305-365;대전;유성구;계산동
305-790;대전;유성구;관평동
305-747;대전;유성구;교촌동
305-504;대전;유성구;구룡동
305-705;대전;유성구;구성동
305-800;대전;유성구;구암동
305-764;대전;유성구;궁동
305-502;대전;유성구;금고동
305-501;대전;유성구;금탄동
305-768;대전;유성구;노은동
305-507;대전;유성구;대동
305-251;대전;유성구;대정동
305-734;대전;유성구;덕명동
305-353;대전;유성구;덕진동
305-780;대전;유성구;도룡동
305-505;대전;유성구;둔곡동
305-732;대전;유성구;문지동
305-750;대전;유성구;반석동
305-203;대전;유성구;방동
305-355;대전;유성구;방현동
305-305;대전;유성구;복용동
305-301;대전;유성구;봉명동
305-763;대전;유성구;봉산동
305-736;대전;유성구;상대동
305-201;대전;유성구;성북동
305-205;대전;유성구;세동
305-751;대전;유성구;송강동
305-202;대전;유성구;송정동
305-152;대전;유성구;수남동
305-508;대전;유성구;신동
305-154;대전;유성구;신봉동
305-720;대전;유성구;신성동
305-151;대전;유성구;안산동
305-702;대전;유성구;어은동
305-156;대전;유성구;외삼동
305-363;대전;유성구;용계동
305-794;대전;유성구;용산동
305-724;대전;유성구;원내동
305-774;대전;유성구;원신흥동
305-712;대전;유성구;원촌동
305-155;대전;유성구;자운동
305-715;대전;유성구;장동
305-308;대전;유성구;장대동
305-731;대전;유성구;전민동
305-328;대전;유성구;죽동
305-711;대전;유성구;지족동
305-878;대전;유성구;추목동
305-510;대전;유성구;탑립동
305-759;대전;유성구;하기동
305-360;대전;유성구;학하동
305-717;대전;유성구;화암동
301-218;대전;중구;구완동
301-233;대전;중구;금동
301-703;대전;중구;대사동
301-709;대전;중구;대흥동
301-782;대전;중구;목동
301-225;대전;중구;목달동
301-215;대전;중구;무수동
301-809;대전;중구;문창동
301-716;대전;중구;문화1동
301-765;대전;중구;문화2동
301-130;대전;중구;문화동
301-727;대전;중구;부사동
301-759;대전;중구;사정동
301-755;대전;중구;산성동
301-820;대전;중구;석교동
301-732;대전;중구;선화동
301-213;대전;중구;안영동
301-231;대전;중구;어남동
301-789;대전;중구;오류동
301-090;대전;중구;옥계동
301-745;대전;중구;용두동
301-837;대전;중구;유천1동
301-757;대전;중구;유천2동
301-140;대전;중구;유천동
301-838;대전;중구;은행동
301-228;대전;중구;정생동
301-769;대전;중구;중촌동
301-221;대전;중구;침산동
301-786;대전;중구;태평1동
301-781;대전;중구;태평2동
301-150;대전;중구;태평동
301-092;대전;중구;호동
680-200;울산;남구;개운동
680-130;울산;남구;고사동
680-120;울산;남구;남화동
680-724;울산;남구;달동
680-170;울산;남구;두왕동
680-050;울산;남구;매암동
680-755;울산;남구;무거동
680-110;울산;남구;부곡동
680-743;울산;남구;삼산동
680-180;울산;남구;상개동
680-791;울산;남구;선암동
680-140;울산;남구;성암동
680-701;울산;남구;신정1동
680-853;울산;남구;신정2동
680-732;울산;남구;신정3동
680-795;울산;남구;신정4동
680-742;울산;남구;신정5동
680-010;울산;남구;신정동
680-723;울산;남구;야음동
680-090;울산;남구;여천동
680-728;울산;남구;옥동
680-150;울산;남구;용연동
680-070;울산;남구;용잠동
680-060;울산;남구;장생포동
680-160;울산;남구;황성동
682-754;울산;동구;대송동
682-751;울산;동구;동부동
682-040;울산;동구;미포동
682-711;울산;동구;방어동
682-762;울산;동구;서부동
682-810;울산;동구;일산동
682-761;울산;동구;전하1동
682-062;울산;동구;전하2동
682-060;울산;동구;전하동
682-080;울산;동구;주전동
682-768;울산;동구;화정동
683-460;울산;북구;가대동
683-220;울산;북구;구유동
683-701;울산;북구;달천동
683-230;울산;북구;당사동
683-240;울산;북구;대안동
683-744;울산;북구;매곡동
683-764;울산;북구;명촌동
683-250;울산;북구;무룡동
683-260;울산;북구;산하동
683-751;울산;북구;상안동
683-410;울산;북구;송정동
683-800;울산;북구;시례동
683-270;울산;북구;신명동
683-790;울산;북구;신천동
683-280;울산;북구;신현동
683-791;울산;북구;양정동
683-290;울산;북구;어물동
683-755;울산;북구;연암동
683-715;울산;북구;염포동
683-210;울산;북구;정자동
683-750;울산;북구;중산동
683-003;울산;북구;진장동
683-810;울산;북구;창평동
683-770;울산;북구;천곡동
683-710;울산;북구;호계동
683-757;울산;북구;화봉동
683-360;울산;북구;효문동
681-240;울산;중구;교동
681-716;울산;중구;남외동
681-758;울산;중구;다운동
681-712;울산;중구;동동
681-808;울산;중구;반구1동
681-713;울산;중구;반구2동
681-260;울산;중구;반구동
681-752;울산;중구;복산1동
681-754;울산;중구;복산2동
681-220;울산;중구;복산동
681-230;울산;중구;북정동
681-290;울산;중구;서동
681-812;울산;중구;성남동
681-715;울산;중구;성안동
681-762;울산;중구;약사동
681-190;울산;중구;옥교동
681-751;울산;중구;우정동
681-703;울산;중구;유곡동
681-420;울산;중구;장현동
681-764;울산;중구;태화동
681-200;울산;중구;학산동
681-728;울산;중구;학성동
689-763;울산;울주군;범서읍
689-751;울산;울주군;언양읍
689-775;울산;울주군;온산읍
689-773;울산;울주군;온양읍
689-841;울산;울주군;두동면
689-831;울산;울주군;두서면
689-701;울산;울주군;삼남면
689-931;울산;울주군;삼동면
689-821;울산;울주군;상북면
689-881;울산;울주군;서생면
689-783;울산;울주군;웅촌면
689-782;울산;울주군;청량면
339-001;세종;;가람동
339-002;세종;;고운동
339-003;세종;;나성동
339-004;세종;;다정동
339-703;세종;;대평동
339-006;세종;;도담동
339-007;세종;;반곡동
339-008;세종;;보람동
339-009;세종;;새롬동
339-010;세종;;소담동
339-011;세종;;아름동
339-730;세종;;어진동
339-013;세종;;종촌동
339-721;세종;;한솔동
339-800;세종;;조치원읍
339-831;세종;;금남면
339-945;세종;;부강면
339-871;세종;;소정면
339-822;세종;;연기면
339-861;세종;;연동면
339-811;세종;;연서면
339-713;세종;;장군면
339-704;세종;;전동면
339-706;세종;;전의면
210-130;강원;강릉시;강문동
210-791;강원;강릉시;견소동
210-770;강원;강릉시;교1동
210-768;강원;강릉시;교2동
210-100;강원;강릉시;교동
210-060;강원;강릉시;금학동
